studyid,methodtype,reason for exclusion,search,initialid,Author,Title,Year,Journal,Volume,Number,Month,Pages,Identifier,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
,,interactions not considered,search1,234,"Moller, Anders Pape; Rubolini, Diego & Lehikoinen, Esa",Populations of migratory bird species that did not show a phenological response to climate change are declining,{2008},{PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA},{105},{42},{OCT 21},{16195-16200},ISI:000260597400025,,,,,,,,,,,,,,,,,,,
,,GDD used for plant phenology,search1,235,"Monteith, Kevin L.; Bleich, Vernon C.; Stephenson, Thomas R.; Pierce, Becky M.; Conner, Mary M.; Klaver, Robert W. & Bowyer, R. Terry","Timing of seasonal migration in mule deer: effects of climate, plant phenology, and life-history characteristics",{2011},{ECOSPHERE},{2},{4},{APR},,ISI:000208810500009,,,,,,,,,,,,,,,,,,,
,,review,search1,236,"Mopper, S.",Phenology - how time creates spatial structure in endophagous insect populations,{2005},{ANNALES ZOOLOGICI FENNICI},{42},{4},{AUG 29},{327-333},ISI:000232236200004,"{Workshop on Spatial Ecology of Insect-Plant Interactions, Univ Helsinki, Helsinki, FINLAND, NOV 05-09, 2004}",,,,,,,,,,,,,,,,,,
,,phenology was estimated by thermal requirements,search1,237,"Moriyama, Minoru & Numata, Hideharu",A Cicada That Ensures Its Fitness during Climate Warming by Synchronizing Its Hatching Time with the Rainy Season,{2011},{ZOOLOGICAL SCIENCE},{28},{12},{DEC},{875-881},ISI:000297355800003,,,,,,,,,,,,,,,,,,,
,,no interactions,search1,238,"Mortensen, Lars O.; Jeppesen, Erik; Schmidt, Niels Martin; Christoffersen, Kirsten S.; Tamstorf, Mikkel P. & Forchhammer, Mads C.",Temporal trends and variability in a high-arctic ecosystem in Greenland: multidimensional analyses of limnic and terrestrial ecosystems,{2014},{POLAR BIOLOGY},{37},{8},{AUG},{1073-1082},ISI:000341378000002,,,,,,,,,,,,,,,,,,,
HMK021,,,search1,239,"Mortensen, Lars O.; Schmidt, Niels Martin; Hoye, Toke T.; Damgaard, Christian & Forchhammer, Mads C.",Analysis of trophic interactions reveals highly plastic response to climate change in a tri-trophic High-Arctic ecosystem,{2016},{POLAR BIOLOGY},{39},{8},{AUG},{1467-1478},ISI:000381405400009,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,240,"Moussus, Jean-Pierre; Julliard, Romain & Jiguet, Frederic",Featuring 10 phenological estimators using simulated data,{2010},{METHODS IN ECOLOGY AND EVOLUTION},{1},{2},{JUN},{140-150},ISI:000288914100006,,,,,,,,,,,,,,,,,,,
,,abiotic mismatch,search1,241,"Musolin, Dmitry L.","Insects in a warmer world: ecological, physiological and life-history responses of true bugs (Heteroptera) to climate change",{2007},{GLOBAL CHANGE BIOLOGY},{13},{8},{AUG},{1565-1585},ISI:000248959400003,,,,,,,,,,,,,,,,,,,
,,comment,search1,242,"Mysterud, Atle","Ungulate migration, plant phenology, and large carnivores: The times they are a-changin'",{2013},{ECOLOGY},{94},{6},{JUN},{1257-1261},ISI:000320714800008,,,,,,,,,,,,,,,,,,,
,,previous search (2014); review,search1,243,"Nakazawa, Takefumi & Doi, Hideyuki",A perspective on match/mismatch of phenology in community contexts,{2012},{OIKOS},{121},{4},{APR},{489-495},ISI:000301537200002,,,,,,,,,,,,,,,,,,,
,,previous search (2014); no phenological data for second species but fitness data available,search1,244,"Nealis, Vincent G.",The phenological window for western spruce budworm: seasonal decline in resource quality,{2012},{AGRICULTURAL AND FOREST ENTOMOLOGY},{14},{4},{NOV},{340-347},ISI:000309917900002,,,,,,,,,,,,,,,,,,,
,,previous search (2014); no fitness data,search1,245,"Nicolle, Alice; Hallgren, Per; von Einem, Jessica; Kritzberg, Emma Sofia; Graneli, Wilhelm; Persson, Anders; Bronmark, Christer & Hansson, Lars-Anders",Predicted warming and browning affect timing and magnitude of plankton phenological events in lakes: a mesocosm study,{2012},{FRESHWATER BIOLOGY},{57},{4},{APR},{684-695},ISI:000301227000005,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,246,"Nussey, D. H.; Postma, E.; Gienapp, P. & Visser, M. E.",Selection on heritable phenotypic plasticity in a wild bird population,{2005},{SCIENCE},{310},{5746},{OCT 14},{304-306},ISI:000232670100049,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,247,"O'Donnell, Aidan J.; Schneider, Petra; McWatters, Harriet G. & Reece, Sarah E.",Fitness costs of disrupting circadian rhythms in malaria parasites,{2011},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{278},{1717},{AUG 22},{2429-2436},ISI:000292592000004,,,,,,,,,,,,,,,,,,,
,,not temporal,search1,248,"Ogutu, Joseph O.; Piepho, Hans-Peter & Dublin, Holly T.",Reproductive seasonality in African ungulates in relation to rainfall,{2014},{WILDLIFE RESEARCH},{41},{4},,{323-342},ISI:000346585100005,,,,,,,,,,,,,,,,,,,
HMK022,,,search1,249,"Ohlberger, Jan; Thackeray, Stephen J.; Winfield, Ian J.; Maberly, Stephen C. & Vollestad, L. Asbjorn",When phenology matters: age-size truncation alters population response to trophic mismatch,{2014},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{281},{1793},{OCT 22},,ISI:000341560300001,,,,,,,,,,,,,,,,,,,
,,previous search (2014); theoretical model,search1,250,"Olesen, J. M.",Modelling the impact on fitness of level of phenological synchrony between species in a pollination mutualism,{2001},,,{561},,{75-79},ISI:000173805800009,"{8th International Pollination Symposium, UNIV W HUNGARY, MOSONMAGYAROVAR, HUNGARY, JUL 10-14, 2000}",,{PROCEEDINGS OF THE EIGHT INTERNATIONAL POLLINATION SYMPOSIUM POLLINATION: INTEGRATOR OF CROPS AND NATIVE PLANT SYSTEMS},,,{ACTA HORTICULTURAE},"Benedek, P & Richards, KW",,,,,,,,,,,,
,,previous search (2014); no relevant phenological data,search1,251,"Olesen, Jens M.; Bascompte, Jordi; Elberling, Heidi & Jordano, Pedro",Temporal dynamics in a pollination network,{2008},{ECOLOGY},{89},{6},{JUN},{1573-1582},ISI:000256540300011,,,,,,,,,,,,,,,,,,,
,,theoretical,search1,252,"Olito, Colin; Bode, Michael & Marshall, Dustin",Evolutionary consequences of fertilization mode for reproductive phenology and asynchrony,{2015},{MARINE ECOLOGY PROGRESS SERIES},{537},,{OCT 14},{23-38},ISI:000363180900003,,,,,,,,,,,,,,,,,,,
,,not temporal,search1,253,"Olito, Colin & Fox, Jeremy W.","Species traits and abundances predict metrics of plant-pollinator network structure, but not pairwise interactions",{2015},{OIKOS},{124},{4},{APR},{428-436},ISI:000352240500006,,,,,,,,,,,,,,,,,,,
,,not biology!,search1,254,"Oscari, Fabio; Oboe, Roberto; Daud Albasini, Omar Andres; Masiero, Stefano & Rosati, Giulio",Design and Construction of a Bilateral Haptic System for the Remote Assessment of the Stiffness and Range of Motion of the Hand,{2016},{SENSORS},{16},{10},{OCT},,ISI:000386131600085,,,,,,,,,,,,,,,,,,,
,,only two years of data,search1,255,"Ostman, O.",Asynchronous temporal variation among sites in condition of two carabid species,{2005},{ECOLOGICAL ENTOMOLOGY},{30},{1},{FEB},{63-69},ISI:000226922200008,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,256,"Ovaskainen, Otso; Skorokhodova, Svetlana; Yakovleva, Marina; Sukhov, Alexander; Kutenkov, Anatoliy; Kutenkova, Nadezhda; Shcherbakov, Anatoliy; Meyke, Evegeniy & del Mar Delgado, Maria",Community-level phenological response to climate change,{2013},{PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA},{110},{33},{AUG 13},{13434-13439},ISI:000323069200055,,,,,,,,,,,,,,,,,,,
HMK024,,years not provided,search1,257,"Pakanen, Veli-Matti; Orell, Markku; Vatka, Emma; Rytkonen, Seppo & Broggi, Juli",Different Ultimate Factors Define Timing of Breeding in Two Related Species,{2016},{PLOS ONE},{11},{9},{SEP 9},,ISI:000383255900143,,,,,,,,,,,,,,,,,,,
,,review,search1,258,"Parmesan, Camille & Hanley, Mick E.",Plants and climate change: complexities and surprises,{849-864},{ANNALS OF BOTANY},{116},{6, SI},{NOV},ISI:000365134800001,,,,,,,,,,,,,,,,,,,
maybe,experiment,need to revisit,search1,259,"Paull, Sara H. & Johnson, Pieter T. J.",Experimental warming drives a seasonal shift in the timing of host-parasite dynamics with consequences for disease risk,{2014},{ECOLOGY LETTERS},{17},{4},{APR},{445-453},ISI:000332206400005,,,,,,,,,,,,,,,,,,,
,,previous search (2014); no relevant phenological data,search1,260,"Paull, Sara H. & Johnson, Pieter T. J.",High temperature enhances host pathology in a snail-trematode system: possible consequences of climate change for the emergence of disease,{2011},{FRESHWATER BIOLOGY},{56},{4},{APR},{767-778},ISI:000288019200010,,,,,,,,,,,,,,,,,,,
,,previous search (2014); review,search1,261,"Pautasso, M.",Observed impacts of climate change on terrestrial birds in Europe: an overview,{2012},{ITALIAN JOURNAL OF ZOOLOGY},{79},{2},,{296-314},ISI:000305177500017,,,,,,,,,,,,,,,,,,,
,,modelled phenology data using climate variables,search1,262,"Pearce-Higgins, J. W.; Yalden, D. W. & Whittingham, M. J.",Warmer springs advance the breeding phenology of golden plovers Pluvialis apricaria and their prey (Tipulidae),{2005},{OECOLOGIA},{143},{3},{APR},{470-476},ISI:000228517300015,,,,,,,,,,,,,,,,,,,
,,population data; could match with Pearce-Higgins 2005,search1,263,"Pearce-Higgins, James W.; Dennis, Peter; Whittingham, Mark J. & Yalden, Derek W.",Impacts of climate on prey abundance account for fluctuations in a population of a northern wader at the southern edge of its range,{2010},{GLOBAL CHANGE BIOLOGY},{16},{1},{JAN},{12-23},ISI:000274419200002,,,,,,,,,,,,,,,,,,,
,,abiotic mismatch,search1,264,"Pearce-Higgins, James W.; Eglington, Sarah M.; Martay, Blaise & Chamberlain, Dan E.",Drivers of climate change impacts on bird communities,{2015},{JOURNAL OF ANIMAL ECOLOGY},{84},{4},{JUL},{943-954},ISI:000357813500007,,,,,,,,,,,,,,,,,,,
,,abiotic mismatch,search1,265,"Pearce-Higgins, J. W.; Yalden, D. W.; Dougall, T. W. & Beale, C. M.",Does climate change explain the decline of a trans-Saharan Afro-Palaearctic migrant?,{2009},{OECOLOGIA},{159},{3},{MAR},{649-659},ISI:000263418800017,,,,,,,,,,,,,,,,,,,
,,model,search1,266,"Peeters, Frank; Straile, Dietmar; Lorke, Andreas & Livingstone, David M.",Earlier onset of the spring phytoplankton bloom in lakes of the temperate zone in a warmer climate,{2007},{GLOBAL CHANGE BIOLOGY},{13},{9},{SEP},{1898-1909},ISI:000249222800006,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,267,"Perez-Rodriguez, Jesica; Shortall, Chris R. & Bell, James R.",Large-scale migration synchrony between parasitoids and their host,{2015},{ECOLOGICAL ENTOMOLOGY},{40},{5},{OCT},{654-659},ISI:000361008500019,,,,,,,,,,,,,,,,,,,
,,no time series,search1,268,"Pesendorfer, Mario B. & Koenig, Walter D.",The effect of within-year variation in acorn crop size on seed harvesting by avian hoarders,{2016},{OECOLOGIA},{181},{1},{MAY},{97-106},ISI:000374564000009,,,,,,,,,,,,,,,,,,,
,,species-level data not provided- could contact authors but >200 spp!; not clear how many spp have 3 yrs vs 5 yrs of data,search1,269,"Petanidou, Theodora; Kallimanis, Athanasios S.; Sgardelis, Stefanos P.; Mazaris, Antonios D.; Pantis, John D. & Waser, Nickolas M.",Variable flowering phenology and pollinator use in a community suggest future phenological mismatch,{2014},{ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY},{59},,{AUG},{104-111},ISI:000340220700013,,,,,,,,,,,,,,,,,,,
,,resolution on time-series not good enough- could contact authors,search1,270,"Philippart, Catharina J. M.; Van Bleijswijk, Judith D. L.; Kromkamp, Jacco C.; Zuur, Alain F. & Herman, Peter M. J.",Reproductive phenology of coastal marine bivalves in a seasonal environment,{2014},{JOURNAL OF PLANKTON RESEARCH},{36},{6},{NOV-DEC},{1512-1527},ISI:000345051100012,,,,,,,,,,,,,,,,,,,
HMK025,,GDD used for plant phenology,search1,271,"Plard, Floriane; Gaillard, Jean-Michel; Coulson, Tim; Hewison, A. J. Mark; Delorme, Daniel; Warnant, Claude & Bonenfant, Christophe",Mismatch Between Birth Date and Vegetation Phenology Slows the Demography of Roe Deer,{2014},{PLOS BIOLOGY},{12},{4},{APR},,ISI:000335458800015,,,,,,,,,,,,,,,,,,,
maybe,,data request sent,search1,272,"Plourde, Stephane; Gregoire, Francois; Lehoux, Caroline; Galbraith, Peter S.; Castonguay, Martin & Ringuette, Marc",Effect of environmental variability on body condition and recruitment success of Atlantic Mackerel (Scomber scombrus L.) in the Gulf of St. Lawrence,{2015},{FISHERIES OCEANOGRAPHY},{24},{4},{JUL},{347-363},ISI:000358673700004,,,,,,,,,,,,,,,,,,,
,,simulation,search1,273,"Poethke, Hans Joachim; Hovestadt, Thomas & Mitesser, Oliver",The evolution of optimal emergence times: bet hedging and the quest for an ideal free temporal distribution of individuals,{2016},{OIKOS},{125},{11},{NOV},{1647-1656},ISI:000387146600012,,,,,,,,,,,,,,,,,,,
,,no time series,search1,274,"Polak, Marcin",Variation in the nesting phenology of two positively interacting passerines,{2015},{AVIAN BIOLOGY RESEARCH},{8},{2},,{97-103},ISI:000355735600004,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,275,"Polgar, Caroline A.; Primack, Richard B.; Williams, Ernest H.; Stichter, Sharon & Hitchcock, Colleen",Climate effects on the flight period of Lycaenid butterflies in Massachusetts,{2013},{BIOLOGICAL CONSERVATION},{160},,{APR},{25-31},ISI:000320684700004,,,,,,,,,,,,,,,,,,,
,,theoretical,search1,276,"Pontarp, Mikael; Johansson, Jacob; Jonzen, Niclas & Lundberg, Per",Adaptation of timing of life history traits and population dynamic responses to climate change in spatially structured populations,{2015},{EVOLUTIONARY ECOLOGY},{29},{4},{JUL},{565-579},ISI:000355943000008,,,,,,,,,,,,,,,,,,,
HMK045,experiment,phenological index used (0 to 1) so units are not in daysl though could still calculate relative change,search1,277,"Posledovich, Diana; Toftegaard, Tenna; Wiklund, Christer; Ehrlen, Johan & Gotthard, Karl",The developmental race between maturing host plants and their butterfly herbivore - the influence of phenological matching and temperature,{2015},{JOURNAL OF ANIMAL ECOLOGY},{84},{6},{NOV},{1690-1699},ISI:000362741000024,,,,,,,,,,,,,,,,,,,
,,"previous search (2014); doesn't include data for individual plant species, just community level; 5 years",search1,278,"Post, Eric & Forchhammer, Mads C.",Climate change reduces reproductive success of an Arctic herbivore through trophic mismatch,{2008},{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{363},{1501},{JUL 12},{2369-2375},ISI:000256141100012,,,,,,,,,,,,,,,,,,,
,,missing phenology data for herbivore FROM experiment,search1,279,"Post, Eric; Pedersen, Christian; Wilmers, Christopher C. & Forchhammer, Mads C.","Warming, plant phenology and the spatial dimension of trophic mismatch for large herbivores",{2008},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{275},{1646},{SEP 7},{2005-2013},ISI:000257657700010,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,280,"Potti, Jaime",Temperature during egg formation and the effect of climate warming on egg size in a small songbird,{2008},{ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY},{33},{3},{MAY-JUN},{387-393},ISI:000256779800014,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,281,"Prieto, Carmen & Destouni, Georgia",Climate-Driven Phenological Change: Developing Robust Spatiotemporal Modeling and Projection Capability,{2015},{PLoS One},{10},{11},{NOV 6},,ISI:000364398700019,,,,,,,,,,,,,,,,,,,
,,interactions not considered,search1,282,"Primack, Richard B.; Higuchi, Hiroyoshi & Miller-Rushing, Abraham J.",The impact of climate change on cherry trees and other species in Japan,{2009},{BIOLOGICAL CONSERVATION},{142},{9},{SEP},{1943-1949},ISI:000269416200010,,,,,,,,,,,,,,,,,,,
,,model,search1,283,"Pulatov, Bakhtiyor; Jonsson, Anna Maria; Wilcke, Renate A. I.; Linderson, Maj-Lena; Hall, Karin & Barring, Lars",Evaluation of the phenological synchrony between potato crop and Colorado potato beetle under future climate in Europe,{2016},{AGRICULTURE ECOSYSTEMS \& ENVIRONMENT},{224},,{MAY 15},{39-49},ISI:000375809900005,,,,,,,,,,,,,,,,,,,
,,review,search1,284,"Pureswaran, Deepa S.; De Grandpre, Louis; Pare, David; Taylor, Anthony; Barrette, Martin; Morin, Hubert; Regniere, Jacques & Kneeshaw, Daniel D.",Climate-induced changes in host tree-insect phenology may drive ecological state-shift in boreal forests,{2015},{ECOLOGY},{96},{6},{JUN},{1480-1491},ISI:000356021700005,,,,,,,,,,,,,,,,,,,
,,review,search1,285,"Rafferty, Nicole E.; CaraDonna, Paul J. & Bronstein, Judith L.",Phenological shifts and the fate of mutualisms,{2015},{OIKOS},{124},{1},{JAN},{14-21},ISI:000347052300003,,,,,,,,,,,,,,,,,,,
,,previous search (2014); review,search1,286,"Rafferty, Nicole E.; CaraDonna, Paul J.; Burkle, Laura A.; Iler, Amy M. & Bronstein, Judith L.",Phenological overlap of interacting species in a changing climate: an assessment of available approaches,{2013},{ECOLOGY AND EVOLUTION},{3},{9},{SEP},{3183-3193},ISI:000324046400032,,,,,,,,,,,,,,,,,,,
,,previous search (2014); no info on phenology of pollinators,search1,287,"Rafferty, Nicole E. & Ives, Anthony R.",Pollinator effectiveness varies with experimental shifts in flowering time,{2012},{ECOLOGY},{93},{4},{APR},{803-814},ISI:000303650500013,,,,,,,,,,,,,,,,,,,
,,previous search (2014); no info on phenology of pollinators,search1,288,"Rafferty, Nicole E. & Ives, Anthony R.",Effects of experimental shifts in flowering phenology on plant-pollinator interactions,{2011},{ECOLOGY LETTERS},{14},{1},{JAN},{69-74},ISI:000285302500011,,,,,,,,,,,,,,,,,,,
maybe,,"years not available; data available: mean lay dates for spp1, data needed: peak in chl a for 2nd spp; PLUS mismatch based on timing of stratification NOT spp data",search1,289,"Ramirez, Francisco; Afan, Isabel; Tavecchia, Giacomo; Catalan, Ignacio A.; Oro, Daniel & Sanz-Aguilar, Ana",Oceanographic drivers and mistiming processes shape breeding success in a seabird,{2016},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{283},{1826},{MAR 16},,ISI:000374921900024,,,,,,,,,,,,,,,,,,,
,,review,search1,290,"Ramsfield, T. D.; Bentz, B. J.; Faccoli, M.; Jactel, H. & Brockerhoff, E. G.",Forest health in a changing world: effects of globalization and climate change on forest insect and pathogen impacts,{245-252},{FORESTRY},{89},{3, SI},{JUL},ISI:000376127500001,,,,,,,,,,,,,,,,,,,
HMK027,experiment,,search1,291,"Rasmussen, Nick L. & Rudolf, Volker H. W.",Phenological synchronization drives demographic rates of populations,{2015},{ECOLOGY},{96},{7},{JUL},{1754-1760},ISI:000357525800002,,,,,,,,,,,,,,,,,,,
HMK028,expereiment ,need to revisit,search1,292,"Rasmussen, Nick L.; Van Allen, Benjamin G. & Rudolf, Volker H. W.",Linking phenological shifts to species interactions through size-mediated priority effects,{2014},{JOURNAL OF ANIMAL ECOLOGY},{83},{5},{SEP},{1206-1215},ISI:000340877700021,,,,,,,,,,,,,,,,,,,
,,model,search1,293,"Rautiainen, Miina; Mottus, Matti; Heiskanen, Janne; Akujarvi, Anu; Majasalmi, Titta & Stenberg, Pauline",Seasonal reflectance dynamics of common understory types in a northern European boreal forest,{2011},{REMOTE SENSING OF ENVIRONMENT},{115},{12},{DEC 15},{3020-3028},ISI:000298311300006,,,,,,,,,,,,,,,,,,,
,,phenology of second spp not measured,search1,294,"Reddy, Gadi V. P.; Shi, Peijian; Hui, Cang; Cheng, Xiaofei; Ouyang, Fang & Ge, Feng",The seesaw effect of winter temperature change on the recruitment of cotton bollworms Helicoverpa armigera through mismatched phenology,{2015},{ECOLOGY AND EVOLUTION},{5},{23},{DEC},{5652-5661},ISI:000367433000019,,,,,,,,,,,,,,,,,,,
,,model,search1,295,"Reed, Thomas E.; Gienapp, Phillip & Visser, Marcel E.",Density dependence and microevolution interactively determine effects of phenology mismatch on population dynamics,{2015},{OIKOS},{124},{1},{JAN},{81-91},ISI:000347052300010,,,,,,,,,,,,,,,,,,,
HMK050,,previous search (2014); yes fitness,search1,296,"Reed, Thomas E.; Grotan, Vidar; Jenouvrier, Stephanie; Saether, Bernt-Erik & Visser, Marcel E.",Population Growth in a Wild Bird Is Buffered Against Phenological Mismatch,{2013},{SCIENCE},{340},{6131},{APR 26},{488-491},ISI:000318016700045,,,,,,,,,,,,,,,,,,,
HMK052,,years not provided,search1,297,"Reed, Thomas E.; Jenouvrier, Stephanie & Visser, Marcel E.",Phenological mismatch strongly affects individual fitness but not population demography in a woodland passerine,{2013},{JOURNAL OF ANIMAL ECOLOGY},{82},{1},{JAN},{131-144},ISI:000313752300014,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,298,"Reeves, Justin L.; Blumenthal, Dana M.; Kray, Julie A. & Derner, Justin D.",Increased seed consumption by biological control weevil tempers positive CO2 effect on invasive plant (Centaurea diffusa) fitness,{2015},{BIOLOGICAL CONTROL},{84},,{MAY},{36-43},ISI:000352509000005,,,,,,,,,,,,,,,,,,,
HMK046,,,search1,299,"Regnier, T.; Gibb, F. M. & Wright, P. J.",Importance of trophic mismatch in a winter-hatching species: evidence from lesser sandeel,{2017},{MARINE ECOLOGY PROGRESS SERIES},{567},,{MAR 13},{185-197},ISI:000397823100013,,,,,,,,,,,,,,,,,,,
HMK047,,,search1,300,"Reneerkens, Jeroen; Schmidt, Niels Martin; Gilg, Olivier; Hansen, Jannik; Hansen, Lars Holst; Moreau, Jerome & Piersma, Theunis",Effects of food abundance and early clutch predation on reproductive timing in a high Arctic shorebird exposed to advancements in arthropod abundance,{2016},{ECOLOGY AND EVOLUTION},{6},{20},{OCT},{7375-7386},ISI:000386429200020,,,,,,,,,,,,,,,,,,,
,,model,search1,301,"Revilla, Tomas A.; Encinas-Viso, Francisco & Loreau, Michel",(A bit) Earlier or later is always better: Phenological shifts in consumer-resource interactions,{2014},{THEORETICAL ECOLOGY},{7},{2},{MAY},{149-162},ISI:000334577200004,,,,,,,,,,,,,,,,,,,
,,abiotic mismatch,search1,302,"Richards, R. Anne; O'Reilly, John E. & Hyde, Kimberly J. W.",Use of satellite data to identify critical periods for early life survival of northern shrimp in the Gulf of Maine,{2016},{FISHERIES OCEANOGRAPHY},{25},{3},{MAY},{306-319},ISI:000373924300008,,,,,,,,,,,,,,,,,,,
,,no fitness data,search1,303,"Richter, Otto; Suhling, Frank; Mueller, Ole & Kern, Dietrich",A model for predicting the emergence of dragonflies in a changing climate,{2008},{FRESHWATER BIOLOGY},{53},{9},{SEP},{1868-1880},ISI:000258402800013,,,,,,,,,,,,,,,,,,,
,,model,search1,304,"Ripoche, Aude; Rellier, Jean-Pierre; Martin-Clouaire, Roger; Pare, Nakie; Biarnes, Anne & Gary, Christian",Modelling adaptive management of intercropping in vineyards to satisfy agronomic and environmental performances under Mediterranean climate,{2011},{ENVIRONMENTAL MODELLING \& SOFTWARE},{26},{12},{DEC},{1467-1480},ISI:000298270300009,,,,,,,,,,,,,,,,,,,
,,used seaice breakup date as proxy for polar bear timing,search1,305,"Rockwell, Robert F.; Gormezano, Linda J. & Koons, David N.",Trophic matches and mismatches: can polar bears reduce the abundance of nesting snow geese in western Hudson Bay?,{2011},{OIKOS},{120},{5},{MAY},{696-709},ISI:000289740200006,,,,,,,,,,,,,,,,,,,
,,not temporal,search1,306,"Rodriguez-Rodriguez, Maria C.; Jordano, Pedro & Valido, Alfredo",Hotspots of damage by antagonists shape the spatial structure of plant-pollinator interactions,{2015},{ECOLOGY},{96},{8},{AUG},{2181-2191},ISI:000358454500016,,,,,,,,,,,,,,,,,,,
,,review,search1,307,"Romero-Torres, Mauricio; Acosta, Alberto & Treml, Eric A.",The regional structure of spawning phenology and the potential consequences for connectivity of coral assemblages across the Eastern Tropical Pacific,{2017},{ICES JOURNAL OF MARINE SCIENCE},{74},{3},{MAR-APR},{613-624},ISI:000398662100001,,,,,,,,,,,,,,,,,,,
,,review,search1,308,"Rosemartin, Alyssa H.; Crimmins, Theresa M.; Enquist, Carolyn A. F.; Gerst, Katharine L.; Kellermann, Jherime L.; Posthumus, Erin E.; Denny, Ellen G.; Guertin, Patricia; Marsh, Lee & Weltzin, Jake F.",Organizing phenological data resources to inform natural resource conservation,{2014},{BIOLOGICAL CONSERVATION},{173},,{MAY},{90-97},ISI:000336874100012,,,,,,,,,,,,,,,,,,,
,,no phenology data,search1,309,"Rosenberg, D. K.; Swindle, K. A. & Anthony, R. G.",Influence of prey abundance on northern spotted owl reproductive success in western Oregon,{2003},{CANADIAN JOURNAL OF ZOOLOGY},{81},{10},{OCT},{1715-1725},ISI:000187418900010,,,,,,,,,,,,,,,,,,,
,,used GDD as proxy for phenology; I think abiotic mismatch,search1,310,"Saino, Nicola; Ambrosini, Roberto; Rubolini, Diego; von Hardenberg, Jost; Provenzale, Antonello; Hueppop, Kathrin; Hueppop, Ommo; Lehikoinen, Aleksi; Lehikoinen, Esa; Rainio, Kalle; Romano, Maria & Sokolov, Leonid","Climate warming, ecological mismatch at arrival and population decline in migratory birds",{2011},{PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES},{278},{1707},{MAR 22},{835-842},ISI:000287129800007,,,,,,,,,,,,,,,,,,,
,,no fitness data,search1,311,"Saino, Nicola; Rubolini, Diego; Lehikoinen, Esa; Sokolov, Leonid V.; Bonisoli-Alquati, Andrea; Ambrosini, Roberto; Boncoraglio, Giuseppe & Moller, Anders P.",Climate change effects on migration phenology may mismatch brood parasitic cuckoos and their hosts,{2009},{BIOLOGY LETTERS},{5},{4},{AUG 23},{539-541},ISI:000267881700029,,,,,,,,,,,,,,,,,,,
,,no phenology data for second spp,search1,312,"Salis, Lucia; Lof, Marjolein; van Asch, Margriet & Visser, Marcel E.",Modeling winter moth Operophtera brumata egg phenology: nonlinear effects of temperature and developmental stage on developmental rate,{2016},{OIKOS},{125},{12},{DEC},{1772-1781},ISI:000389308400009,,,,,,,,,,,,,,,,,,,
HMK033,experiment,,search1,313,"Samplonius, Jelmer M.; Kappers, Elena F.; Brands, Stef & Both, Christiaan",Phenological mismatch and ontogenetic diet shifts interactively affect offspring condition in a passerine,{2016},{JOURNAL OF ANIMAL ECOLOGY},{85},{5},{SEP},{1255-1264},ISI:000388353400013,,,,,,,,,,,,,,,,,,,
,,no temporal data,search1,314,"Santos, J. C.; de Araujo, N. A. V.; Venancio, H.; Andrade, J. F.; Alves-Silva, E.; Almeida, W. R. & Carmo-Oliveira, R.","How detrimental are seed galls to their hosts? Plant performance, germination, developmental instability and tolerance to herbivory in Inga laurina, a leguminous tree",{2016},{PLANT BIOLOGY},{18},{6},{NOV},{962-972},ISI:000386350400010,,,,,,,,,,,,,,,,,,,
,,used NDVI for plant phenology,search1,315,"Sanz, J. J.; Potti, J.; Moreno, J.; Merino, S. & Frias, O.",Climate change and fitness components of a migratory bird breeding in the Mediterranean region,{2003},{GLOBAL CHANGE BIOLOGY},{9},{3},{MAR},{461-472},ISI:000181397100013,,,,,,,,,,,,,,,,,,,
